date,less2,from2to5,from5to10,morethan10
2009/01,10486.11111,8103.527107,7379.160013,6532.917515
2009/02,4484.057143,8774.098457,5875.609756,7779.377778
2009/03,0,5686.678907,7957.48503,0
2009/04,11428.57143,6091.992788,5669.863102,0
2009/05,10439.56044,9502.689829,7719.810119,0
2009/06,6249.127907,8422.169744,7642.659758,0
2009/07,0,8808.911759,6610.645161,0
2009/08,11029.16774,7528.235519,7153.38785,8664.544753
2009/09,8927.449602,6907.979264,7390.304706,6950
2009/10,9305.833333,8222.356283,6408.521031,0
2009/11,9542.410714,7158.797405,7735.29545,0
2009/12,8324.063775,8565.295051,5756.042225,0
2010/01,8842.682927,7260.377294,6412.321562,0
2010/02,10886.8152,7750.350432,6712.550294,6095.362103
2010/03,12889.52532,7288.490924,7189.291145,6087.54771
2010/04,12765.95745,7490.73809,7047.619214,0
2010/05,9107.978723,7920.99198,6795.855893,0
2010/06,13402.65957,8374.622356,7016.041705,0
2010/07,11344.1989,7872.751065,4274.524315,5056.794367
2010/08,12406.66667,6349.971502,6306.492766,0
2010/09,10785.18519,5847.891163,6081.269301,5503.546099
2010/10,10371.75472,7262.290172,6885.187372,5507.137681
2010/11,0,6954.605037,4912.736959,0
2010/12,14042.55319,6872.005144,4403.494851,4266.524923
2011/01,8209.955457,6806.415575,6332.159117,5571.173093
2011/02,9477.011494,7053.227143,6772.688065,4619.524862
2011/03,10582.95455,6523.790237,8134.105617,0
2011/04,13619.44444,7172.088509,6258.211774,4826.254826
2011/05,5898.378378,7402.594349,7225.327313,0
2011/06,0,6869.870752,7498.903419,6382.584712
2011/07,0,7362.773601,5860.98551,5761.158493
2011/08,6567.5,6855.735371,6668.039924,8292.966752
2011/09,5716.216216,6638.563834,5985.990122,2745.984375
2011/10,6850.1341,6325.449499,5566.658791,7980.032733
2011/11,0,6592.139212,7561.043444,5692.546584
2011/12,6545.537879,6045.657824,6905.806654,0
2012/01,9498.440546,6455.974737,5562.28949,5856.09848
2012/02,9349.808429,5706.348039,6147.39593,0
2012/03,7033.943288,5788.638339,6095.890809,5571.324234
2012/04,0,6331.746292,6532.648444,4150.158191
2012/05,5026.595745,5345.357612,6060.555311,0
2012/06,0,6510.470543,5523.497906,4656.990881
2012/07,0,6361.752993,5128.678378,4895.337302
2012/08,11070.37736,5825.676723,5196.871193,5131.995227
2012/09,4610.569106,5505.745557,4806.070259,5346.768502
2012/10,0,5647.273655,5498.164275,3660.877117
2012/11,0,6018.382693,5193.780373,3790.835851
2012/12,6041.816758,5004.601199,5336.393437,0
2013/01,6420.185185,4985.78073,5001.856784,3398.878205
2013/02,0,5372.215556,4864.678867,4943.69213
2013/03,7168.493151,4947.781329,5135.166331,4861.898931
2013/04,0,5065.557058,5037.543431,4158.135168
2013/05,8585.588235,5107.840851,4798.125954,5100
2013/06,6624.740125,5222.313272,4708.915015,5100
2013/07,5713.850416,4861.450679,5000.348323,4711.764396
2013/08,4521.920668,5019.70653,4697.605371,5100
2013/09,4175.203252,5156.484211,4868.736132,3896.374498
2013/10,5434.782609,5213.304594,4515.311923,2984.771778
2013/11,0,4858.048594,4658.447832,4142.381318
2013/12,0,4731.694375,4707.640131,4503.639282
2014/01,7237.090909,4960.991821,4448.967103,4900
2014/02,5347.222222,4673.404532,4373.723053,3993.194365
2014/03,6356.666667,4948.369514,4599.372621,4900
2014/04,5175.141956,4602.476718,4250.293044,2738.177837
2014/05,5000,4667.481219,4707.109911,3586.389105
2014/06,4800,4517.066563,4019.364207,4429.080311
2014/07,6711.868671,4370.471475,4024.630586,4028.245788
2014/08,6452.88047,4391.862084,4302.383506,3907.283848
2014/09,5910.900474,4521.636556,4423.973472,5141.817862
2014/10,11390.28571,4720.304399,4309.531494,4772.760324
